CPU_GPU_Testing_Start - 2024-04-05-15:24:01
date,gpu_temp,fan_speed,pwm_value,watt
2024-04-05-15:28:47,73,10975,167,230.86
2024-04-05-15:28:49,74,10975,174,234.24
2024-04-05-15:28:51,74,11538,174,239.88
2024-04-05-15:28:53,74,11250,174,243.42
2024-04-05-15:28:55,74,11250,174,240.77
2024-04-05-15:28:58,74,11538,174,245.35
2024-04-05-15:29:00,74,11250,174,247.74
2024-04-05-15:29:02,74,11440,174,246.77
2024-04-05-15:29:04,73,11538,167,229.92
2024-04-05-15:29:06,74,11065,174,238.45
2024-04-05-15:29:08,73,11344,167,246.68
2024-04-05-15:29:10,74,11250,174,243.04
2024-04-05-15:29:13,73,11344,167,229.92
2024-04-05-15:29:15,73,11250,167,242.07
2024-04-05-15:29:17,73,11250,167,243.32
2024-04-05-15:29:19,74,10975,174,246.68
2024-04-05-15:29:21,74,11538,174,247.62
2024-04-05-15:29:24,74,11538,174,249.95
2024-04-05-15:29:26,74,11344,174,239.89
2024-04-05-15:29:28,74,11538,174,226.45
2024-04-05-15:29:30,74,11344,174,242.26
2024-04-05-15:29:32,74,11344,174,248.02
2024-04-05-15:29:34,73,11250,167,248.96
2024-04-05-15:29:37,74,10975,174,230.31
2024-04-05-15:29:39,74,11250,174,237.11
2024-04-05-15:29:41,74,11538,174,226.36
2024-04-05-15:29:43,74,11637,174,226.55
2024-04-05-15:29:45,73,11250,167,240.66
2024-04-05-15:29:47,74,11250,174,234.69
2024-04-05-15:29:50,74,11538,174,236.04
2024-04-05-15:29:52,74,11637,174,247.55
2024-04-05-15:29:54,74,11250,174,239.69
2024-04-05-15:29:56,74,11344,174,243.22
2024-04-05-15:29:58,74,11440,174,250.38
2024-04-05-15:30:00,74,11250,174,242.07
2024-04-05-15:30:03,74,11538,174,242.07
2024-04-05-15:30:05,74,11344,174,238.06
2024-04-05-15:30:07,74,11250,174,244.66
2024-04-05-15:30:09,74,11250,174,249.18
2024-04-05-15:30:11,74,11344,174,246.00
2024-04-05-15:30:14,74,11344,174,243.61
2024-04-05-15:30:16,74,11440,174,223.03
2024-04-05-15:30:18,74,11538,174,226.07
2024-04-05-15:30:20,74,11157,174,244.10
2024-04-05-15:30:22,74,11440,174,234.98
2024-04-05-15:30:25,73,11538,167,250.40
2024-04-05-15:30:27,73,10975,167,243.51
2024-04-05-15:30:29,74,10975,174,237.12
2024-04-05-15:30:31,74,11637,174,243.03
2024-04-05-15:30:33,74,11344,174,247.27
2024-04-05-15:30:35,74,11157,174,239.27
2024-04-05-15:30:37,74,11344,174,242.26
2024-04-05-15:30:40,74,11440,174,241.97
2024-04-05-15:30:42,74,11440,174,243.45
2024-04-05-15:30:44,74,11637,174,250.72
2024-04-05-15:30:46,74,11637,174,247.47
2024-04-05-15:30:48,73,11538,167,245.42
2024-04-05-15:30:51,74,11250,174,246.48
2024-04-05-15:30:53,74,11538,174,244.86
2024-04-05-15:30:55,73,11250,167,235.36
2024-04-05-15:30:57,74,11250,174,244.48
2024-04-05-15:30:59,74,11538,174,234.23
2024-04-05-15:31:01,74,11250,174,235.17
2024-04-05-15:31:03,74,11344,174,242.84
2024-04-05-15:31:06,74,11344,174,236.51
2024-04-05-15:31:08,74,11637,174,224.48
2024-04-05-15:31:10,74,11440,174,233.79
2024-04-05-15:31:12,74,11344,174,243.52
2024-04-05-15:31:14,73,11637,167,231.34
2024-04-05-15:31:17,74,11250,174,234.32
2024-04-05-15:31:19,73,11538,167,246.41
2024-04-05-15:31:21,74,10975,174,238.17
2024-04-05-15:31:23,74,11538,174,239.02
2024-04-05-15:31:25,74,11250,174,235.96
2024-04-05-15:31:27,74,11739,174,250.15
2024-04-05-15:31:29,74,11250,174,234.32
2024-04-05-15:31:32,74,11637,174,233.09
2024-04-05-15:31:34,74,11157,174,235.29
2024-04-05-15:31:36,74,11538,174,235.77
2024-04-05-15:31:38,74,11250,174,242.07
2024-04-05-15:31:40,74,11344,174,249.64
2024-04-05-15:31:43,73,11637,167,242.45
2024-04-05-15:31:45,73,11250,167,239.38
2024-04-05-15:31:47,74,10975,174,239.34
2024-04-05-15:31:49,74,11538,174,229.06
2024-04-05-15:31:51,74,11637,174,234.50
2024-04-05-15:31:53,74,11637,174,250.32
2024-04-05-15:31:55,74,11250,174,249.84
2024-04-05-15:31:58,74,11157,174,243.51
2024-04-05-15:32:00,73,11538,167,250.14
2024-04-05-15:32:02,74,11065,174,229.91
2024-04-05-15:32:04,74,11250,174,159.77
2024-04-05-15:32:06,74,11344,174,235.10
2024-04-05-15:32:09,74,11344,174,243.35
2024-04-05-15:32:11,74,11538,174,248.60
2024-04-05-15:32:13,74,11538,174,248.06
2024-04-05-15:32:15,74,11250,174,226.36
2024-04-05-15:32:17,74,11344,174,234.13
2024-04-05-15:32:19,74,11344,174,230.85
2024-04-05-15:32:22,74,11538,174,250.63
2024-04-05-15:32:24,74,11637,174,236.80
2024-04-05-15:32:26,74,11440,174,237.99
2024-04-05-15:32:28,74,11440,174,248.49
2024-04-05-15:32:30,74,11344,174,242.17
2024-04-05-15:32:33,74,11344,174,242.55
2024-04-05-15:32:35,73,11440,167,249.55
2024-04-05-15:32:37,74,11250,174,250.20
2024-04-05-15:32:39,74,11739,174,235.09
2024-04-05-15:32:41,74,11538,174,240.08
2024-04-05-15:32:43,74,11344,174,249.82
2024-04-05-15:32:46,74,11440,174,243.23
2024-04-05-15:32:48,74,11157,174,239.79
2024-04-05-15:32:50,74,11250,174,228.57
2024-04-05-15:32:52,74,11440,174,245.91
2024-04-05-15:32:54,74,11250,174,242.18
2024-04-05-15:32:56,74,11344,174,248.38
2024-04-05-15:32:59,74,11250,174,250.38
2024-04-05-15:33:01,74,11440,174,248.51
2024-04-05-15:33:03,74,11344,174,230.12
2024-04-05-15:33:05,74,11538,174,234.21
2024-04-05-15:33:07,74,11344,174,248.86
2024-04-05-15:33:09,74,11440,174,243.71
2024-04-05-15:33:12,74,11344,174,234.80
2024-04-05-15:33:14,74,11538,174,228.19
2024-04-05-15:33:16,74,11637,174,234.89
2024-04-05-15:33:18,74,11440,174,242.77
2024-04-05-15:33:20,74,11440,174,242.84
2024-04-05-15:33:22,74,11538,174,243.32
2024-04-05-15:33:25,73,11440,167,243.80
2024-04-05-15:33:27,74,10975,174,234.13
2024-04-05-15:33:29,74,11250,174,240.53
2024-04-05-15:33:31,74,11344,174,243.61
2024-04-05-15:33:33,74,11739,174,243.51
2024-04-05-15:33:36,74,11538,174,233.39
2024-04-05-15:33:38,74,11440,174,226.48
2024-04-05-15:33:40,74,11538,174,245.73
2024-04-05-15:33:42,74,11538,174,236.61
2024-04-05-15:33:44,74,11739,174,249.18
2024-04-05-15:33:46,74,11250,174,245.63
2024-04-05-15:33:49,74,11440,174,241.88
2024-04-05-15:33:51,74,11440,174,249.80
2024-04-05-15:33:53,74,11344,174,243.40
2024-04-05-15:33:55,74,11538,174,243.79
2024-04-05-15:33:57,74,11250,174,243.71
2024-04-05-15:34:00,74,11538,174,229.54
2024-04-05-15:34:02,74,11637,174,236.25
2024-04-05-15:34:04,74,11538,174,244.61
2024-04-05-15:34:06,74,11538,174,242.87
2024-04-05-15:34:08,74,11739,174,237.02
2024-04-05-15:34:10,74,11538,174,244.12
2024-04-05-15:34:12,74,11157,174,239.13
2024-04-05-15:34:15,74,11739,174,157.11
2024-04-05-15:34:17,74,11538,174,250.24
2024-04-05-15:34:19,74,11250,174,243.53
2024-04-05-15:34:21,74,11637,174,228.80
2024-04-05-15:34:23,74,11538,174,250.04
2024-04-05-15:34:25,70,11739,145,71.76
2024-04-05-15:34:27,67,10074,123,66.89
2024-04-05-15:34:29,66,8881,116,66.21
2024-04-05-15:34:32,65,8437,109,58.65
2024-04-05-15:34:34,64,7670,102,58.36
2024-04-05-15:34:36,64,7541,102,58.07
CPU_GPU_Testing_Stop - 2024-04-05-15:34:37
