Running for 600.0 seconds (600 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
14:50:26   0.2   0.0   0.3  99.6   0.0    1   3468    546    6    5    6  34.61 
14:50:27   0.0   0.0   0.0 100.0   0.0    1    273    187    0    0    0  34.24 
14:50:28   0.3   0.0   0.8  98.9   0.0    1   5426   1028   19   16   21  35.16 
14:50:29   0.0   0.0   0.0 100.0   0.0    1    462    275    2    1    1  34.27 
14:50:30   0.2   0.0   0.2  99.6   0.0    1   5320    974   10    9   10  34.85 
14:50:31   0.0   0.0   0.0 100.0   0.0    1    322    239    0    0    0  34.31 
14:50:32   0.5   0.0   0.6  98.9   0.0    1   5029    814   13   10   13  35.10 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
14:50:33   0.0   0.0   0.1  99.9   0.0    1    567    365   10    8   10  34.45 
14:50:34   0.0   0.0   0.2  99.8   0.0    2    573    317    6    5    6  34.56 
14:50:35   0.3   0.0   0.2  99.5   0.0    1   4999    874    3    3    3  34.87 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
 Average   0.1   0.0   0.2  99.6   0.0  1.2 2558.4  518.9  6.6  5.4  6.6  34.60 
 GeoMean   0.0   0.0   0.0  99.6   0.0  1.1 1340.0  450.1  0.0  0.0  0.0  34.60 
  StdDev   0.1   0.0   0.2   0.3   0.0  0.7 2270.2  262.5  5.6  4.6  5.9   0.32 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
 Minimum   0.0   0.0   0.0  98.9   0.0  1.0  235.0  156.0  0.0  0.0  0.0  34.06 
 Maximum   0.5   0.0   0.8 100.0   0.0  6.0 5536.0 1028.0 23.0 18.0 23.0  35.34 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
Summary:
CPU:  34.60 Watts on average with standard deviation 0.32  
Note: power read from RAPL domains: package-0, core.
These readings do not cover all the hardware in this device.
